Date,rank,song_id,title,artist,genre,genre_coding,date_coding
201412,1,5440651,내일,한희정,Drama,4,0
201412,2,5495296,사랑에 빠지고 싶다,정승환,Ballad,0,0
201412,3,4705577,뭐가 그리 좋은지 몰라,원 모어 찬스 (one more chance),Rock,3,0
201412,4,5473834,시간아 천천히,이진아,Ballad,0,0
201412,5,5482636,잊지 말기로 해 (Bonus Track),성시경,Ballad,0,0
201412,6,4844070,시간을 거슬러,원 모어 찬스 (one more chance),Drama,4,0
201412,7,2939095,널 생각해,원 모어 찬스 (one more chance),Folk,1,0
201412,8,5371629,그게 뭐라고,어쿠루브,Folk,1,0
201412,9,5408544,너 그리고 너,유승우,Folk,1,0
201412,10,4246962,목소리 (Feat. 정기고),스웨덴세탁소,Ballad,0,0
201412,11,5484485,엄마로 산다는 것은,이설아,Ballad,0,0
201412,12,4210187,이대로도 예뻐 (With 임동현),타코앤제이형,Rap / Hip-hop,5,0
201412,13,5486032,웃는 것밖에 (With 예슬),스탠딩 에그,Folk,1,0
201412,14,3973781,크리스마스니까,성시경,Ballad,0,0
201412,15,5503057,"몰라 너 싫어 (Feat. 선아, 리와인)",어쿠루브,Folk,1,0
201412,16,4630555,Problem (Feat. Iggy Azalea),Ariana Grande,Pop,6,0
201412,17,5486031,Kiss Me,스탠딩 에그,Folk,1,0
201412,18,5462666,지워 (Feat. 아이언),효린,Ballad,0,0
201412,19,4864206,"묘해, 너와",어쿠스틱 콜라보,Drama,4,0
201412,20,3051817,그대와 같아,주영,Ballad,0,0
201412,21,5504874,마음대로,이진아,Ballad,0,0
201412,22,3535393,한 여름 밤의 꿈,어쿠스틱 콜라보,Folk,1,0
201412,23,5495681,Angel,윤미래 With 타이거 JK & 비지,Rap / Hip-hop,5,0
201412,24,5474213,HAPPY TOGETHER,박효신,Ballad,0,0
201412,25,5470601,"집 밥 (Feat. 긱스, 이희선여사)",김범수,Ballad,0,0
201412,26,5467618,참 좋다,양희은,Folk,1,0
201412,27,5458267,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),Ballad,0,0
201412,28,3789645,염소 4만원,옥상달빛,Folk,1,0
201412,29,3568916,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보,Folk,1,0
201412,30,2960594,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,Folk,1,0
201412,31,5511223,너일까,신용재 (포맨),Ballad,0,0
201412,32,5497052,아무일 없었다는 듯,휘성 (Realslow),Ballad,0,0
201412,33,5490955,첫눈이 온다구요,손승연,Ballad,0,0
201412,34,5386171,너무 보고싶어,어쿠스틱 콜라보,Drama,4,0
201412,35,4635458,"그래, 너",스탠딩 에그,Rock,3,0
201412,36,4291510,하고 싶은 말 (Feat. 한올),어쿠루브,Folk,1,0
201412,37,420424,고백,델리스파이스,Rock,3,0
201412,38,5518502,우리 이야기,재주소년,Folk,1,0
201412,39,5497218,Winter Wonderland,성시경,Ballad,0,0
201412,40,5476552,니가 모르게 (You Don`t Know),로꼬,Rap / Hip-hop,5,0
201412,41,5465008,세 사람 (With 성시경),토이,Ballad,0,0
201412,42,5438154,맘에 걸려,스탠딩 에그,Folk,1,0
201412,43,5383096,빗소리 (Feat. 옥상달빛),윤도현,Ballad,0,0
201412,44,5379648,또 고마워서 만든 노래 (Original Ver.),옥상달빛,Folk,1,0
